364,842
500,706
667,475
145,834
757,164
962,342
813,79
573,431
525,418
274,836
743,637
576,777
908,60
658,321
913,594
368,10
413,324
383,625
172,262
584,507
221,614
930,696
786,655
12,517
961,170
616,94
278,342
831,332
352,832
947,609
948,222
198,396
800,354
398,650
585,293
731,853
40,868
916,355
587,532
922,318
227,648
143,227
340,301
451,392
665,938
403,241
848,371
736,689
115,468
606,547
783,105
148,946
614,859
371,360
462,220
876,767
211,579
729,721
253,9
745,188
813,701
325,883
646,785
506,404
763,503
416,884
493,774
316,417
226,394
91,155
868,918
152,455
485,393
857,734
295,755
8,644
528,586
918,500
744,281
613,767
953,543
125,462
424,168
880,987
346,798
540,361
391,34
907,170
369,891
866,862
858,580
220,581
415,805
420,871
672,407
462,564
1,739
982,660
951,472
768,943
804,308
926,208
585,492
484,325
733,931
220,747
347,386
666,167
896,197
649,465
982,574
455,356
323,111
481,934
286,398
108,573
383,980
266,975
324,58
62,768
565,909
577,180
419,846
331,138
530,430
369,721
67,294
133,469
544,787
412,257
127,351
249,486
813,980
372,40
213,812
857,458
647,361
499,848
348,503
200,488
145,223
662,963
313,745
192,827
471,158
569,138
955,111
431,282
329,806
234,114
931,43
752,865
131,224
732,888
995,525
381,270
598,622
803,646
249,576
373,764
387,151
547,827
291,157
886,82
876,468
761,518
67,30
274,585
632,128
20,924
47,263
822,280
441,799
126,740
232,777
484,431
623,475
525,658
944,621
955,888
120,859
938,607
1000,808
532,749
704,683
625,281
747,270
847,699
426,815
904,356
994,742
501,454
95,614
140,185
826,97
36,261
949,489
13,680
95,113
775,539
377,754
716,784
181,608
104,259
389,64
827,47
512,217
840,879
11,223
374,164
437,244
607,73
571,113
569,553
498,956
581,943
745,383
237,687
875,820
241,376
21,319
349,203
999,310
261,177
105,45
313,733
381,97
267,221
727,102
676,683
323,2
168,24
190,958
354,314
820,218
826,772
304,79
178,495
935,740
314,896
295,231
442,473
323,708
970,108
740,887
564,427
668,158
501,377
778,758
82,622
117,374
511,31
769,448
971,410
866,156
538,991
343,656
529,256
1000,993
647,528
49,208
215,553
336,587
607,703
978,540
28,939
109,957
6,582
931,937
347,966
80,66
851,59
440,876
363,488
424,135
929,310
894,575
778,904
241,918
271,934
264,156
866,2
890,644
46,428
629,665
819,249
108,186
65,279
199,293
610,170
91,626
907,509
108,783
453,486
345,755
585,711
290,645
857,350
490,502
948,830
734,83
541,579
947,759
997,117
647,752
310,540
972,562
590,546
553,147
915,197
1,404
309,362
386,61
261,916
591,289
340,546
963,939
722,541
519,389
834,257
143,581
409,832
468,183
703,982
414,973
560,550
515,175
388,990
695,22
658,189
762,189
796,89
409,938
368,368
508,101
707,461
888,31
515,923
927,131
130,302
859,654
710,12
182,531
344,317
659,792
931,627
84,104
663,629
590,96
597,72
776,133
523,341
398,271
758,775
